"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"verbs","shut up","","","","","","","","","sus"
"verbs","sing","pjevati","sing","לשיר","cantare","synge","петь","cantar","sjunga",""
"verbs","sit","","","","sedersi","","сидеть","sentars","","otur"
"verbs","sleep","spavati","sleep","ללכת לישון","dormire","sove","спать","dormir","sova",""
"verbs","smell","","","","","","","","","kokla"
"verbs","smile","smijati se","smile","לחייך","ridere","smile","","","le",""
"verbs","spill","","","","","","","","","dök"
"verbs","spit","","","","sputare","","","","",""
"verbs","splash","prskati","splash","להתיז","","plaske","","","plaska",""
"verbs","stand","","","","alzarsi","","стоять","","","kalk"
"verbs","stop","stati","stop","לכבות, לעצור","fermarsi","stoppe","","parar","sluta, stanna","dur"
"verbs","strike","","","","","","","","","çarp"
"verbs","swallow","","","","","","","","","yut"
"verbs","sweep","","","","","","подметать","","",""
"verbs","swim","plivati","swim","לשחות","","svømme","купать/купаться","","simma",""
"verbs","swing (action)","ljuljati se","swing (action)","להתנדנד","dondolare","huske","качать/качаться","","gunga","sallan"
"verbs","take","uzeti","take","לקחת","prendere","ta","брать/взять","llevar, tomar","ta","al"
"verbs","take away","","","","","","","","","götür"
"verbs","take off","","","","levare/togliere","","снимать","","","çıkar"
"verbs","take out","","","","","","","sacar","",""
"verbs","talk","","","","parlare","","","","",""
"verbs","tear","trgati","","","","","","","","yırt"
"verbs","tell","","","לספר","","","","","",""
"verbs","throw","baciti","throw","לזרוק","","kaste","бросать","aventar, tirar","kasta","at"
"verbs","tickle","škakljati","tickle","לדגדג","","kile","","","kittla","gir"
"verbs","touch","dirati","touch","לגעת","toccare","ta på","","tocar","röra","elle"
"verbs","travel","","","","","","","","","gez"
"verbs","turn","","","","girare","","","","","dön"
"verbs","turn around","","","להסתובב","","","","","",""
"verbs","turn off","","","","","","","apagar","",""
"verbs","turn on","","","","accendere","","включить","prender","",""
"verbs","understand","","","","","","","","","anla"
"verbs","wait","","","","aspettare","","","esperse","",""
"verbs","wake","","","לקום","","","","","","uyan"
"verbs","walk","hodati","walk","","camminare","gå","гулять, ходить","caminar","gå","yürü"
"verbs","wanna","","","","","","хотеть","querer","","iste"
"verbs","wash","prati","wash","לרחוץ","lavare","vaske","мыть/мыться","lavar","tvätta","yıka"
"verbs","watch (action)","paziti","watch (action)","","","holde øye med","","","","seyret"
"verbs","wave","","","","","","","","","el salla"
"verbs","wear","","","","","","","","","giydir"
"verbs","wet","","","","","","","mojarse","",""
"verbs","wipe","brisati","wipe","לנגב","","","вытирать","","","sil"
"verbs","work (action)","","","","","","","trabaja","",""
"verbs","write","pisati","write","לכתוב","scrivere","skrive","","escribi","skriva","yaz"
