"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"nouns","meat","meso","meat","בשר","carne","kjøtt","мясо","carne","kött","et"
"nouns","meatball","","","קציצה","polpette","","","","köttbullar","köfte"
"nouns","medicine","lijek","medicine","תרופה","","medisin","лекарство/таблетка","medicin","medicin","ilaç"
"nouns","milk","mlijeko","milk","חלב","latte","melk","молоко","leche","mjölk","süt"
"nouns","mirror","","","","specchio","","зеркало","espejo","","ayna"
"nouns","mittens","rukavice","","","","votter","варежки/рукавицы","","vantar",""
"nouns","money","novci","money","כסף","soldi","penger","деньги","dinero","pengar",""
"nouns","monkey","majmun","monkey","קוף","scimmia","ape(katt)","обезьяна","mono","apa","maymun"
"nouns","moon","mjesec","moon","ירח","luna","måne","луна","luna","måne","ay/aydede"
"nouns","mosquito","","","","zanzara","","","","",""
"nouns","motorcycle","motor","motorcycle","אופנוע","motocicletta","motorsykkel","","moto","motorcykel",""
"nouns","mouse","miš","mouse","עכבר","topo","mus","мышка","raton","mus",""
"nouns","moustache","","","","","","","bigote","",""
"nouns","mouth","usta","mouth","פה ","bocca","munn","рот","boca","mun","ağız"
"nouns","mud","","","","","","грязь","","","çamur"
"nouns","music","","","","musica","","","","",""
"nouns","nail","","","","","","гвоздь","","",""
"nouns","nails","nokti","","ציפורניים","","","","","",""
"nouns","neck","","","","","","шея","","",""
"nouns","necklace","","necklace","שרשרת","collana","halskjede","","collar","halsband","kolye"
"nouns","nightgown","","","","","","","","nattlinne",""
"nouns","noodles","juha","noodles","פתיתים","","pasta","макароны","sopa","","çorba"
"nouns","nose","nos","nose","אף","naso","nese","нос","nariz","näsa","burun"
"nouns","olive","","","","","","","","","zeytin"
"nouns","orange (food)","naranča","orange (food)","תפוז","arancia","appelsin","апельсин","naranja","apelsin","portakal"
"nouns","outside","van(i)","outside","","","ute","","","ute",""
"nouns","oven","pećnica","oven","תנור","","ovn","","horno","ugn","fırın"
"nouns","overalls","","","","","","","","overall",""
"nouns","owie","","owie/boo boo","","","","","","",""
"nouns","owl","sova","owl","ינשוף","","ugle","сова","buho","uggla",""
"nouns","pacifier","bočica (s dudom)","","מוצץ","ciuccio","smokk","соска","chupete","","biberon, emzik"
"nouns","pajamas","pidžama","pajamas","פיג'מה","pigiama","pysjamas","","pijama","pyjamas","pijama"
"nouns","pancake","","","","","","","","pannkaka",""
"nouns","pants","hlače","pants","טריינינג","pantaloni","bukse","штаны","pantalo","byxa","pantolon"
"nouns","pap","","","","pappa","","","","",""
"nouns","paper","papir","paper","נייר","giornale","papir","бумага","papel","papper","kağıt"
"nouns","park","park","park","","","","парк","parque","",""
"nouns","parrot","","","תוכי","","","","","",""
"nouns","party","proslava","party","מסיבה","","","","fiesta","kalas",""
"nouns","pasta","","","","pasta","","","","",""
"nouns","pastry","","","","","","","","","börek"
"nouns","peach","","","אפרסק","pesca","","","","","şeftali"
"nouns","peacock","","","טווס","","","","","",""
"nouns","peanut","","","","","","","","","fıstık"
"nouns","pear","","","אגס","pera","","груша","","","armut"
"nouns","peas","grašak","peas","אפונה","piselli","","","","ärtor",""
"nouns","pen","olovka","pen","עט","matita/penna","(farge)blyant","карандаш/ручка","lapiz","penna","kalem"
"nouns","penguin","","penguin","פינגווין","pinguino","pingvin","","pinguin","pingvin",""
"nouns","penis","","","","organo genitale masch","tiss","","","",""
"nouns","penny","","penny","","","","монетка","","mynt",""
"nouns","pepper","","","פילפל","","","","","",""
"nouns","phone","","","","fon","","","","",""
"nouns","photos","","","","","","","fotos","",""
"nouns","picture","slika","picture","תמונה","","bilde","картинка","cuadro","bild","resim"
"nouns","pig","prase","pig","חזיר","maiale","gris","поросенок/свинка","puerco","gris",""
"nouns","pillow","jastuk","pillow","כרית","cuscino","pute","подушка","almohad","kudde","yastık"
"nouns","pipe","","","","","","","","","pipet/kamış"
"nouns","pita","","","פיתה","","","","","",""
"nouns","pizza","","pizza","פיצה ","","pizza","","","pizza",""
"nouns","plant","biljka","plant","צמח","pianta","plante","","planta","",""
"nouns","plate","tanjur","plate","צלחת","","tallerken","тарелка","plato","","tabak"
"nouns","play pen","ogradica (vrtić za igranje)","play pen","","","lekegrind","","","lekrum",""
"nouns","playground","","","","parco giochi","","","","lekpark",""
"nouns","pony","","pony","","","","","","ponny",""
"nouns","pool","bazen","pool","בריכה","","","","albrpis","bassa","havuz"
"nouns","porch","","","","terrazza","","","","","balkon"
"nouns","porridge","","","","","","","atole","",""
"nouns","pot","","","סיר","pentola","","кастрюля","","",""
"nouns","potato","krumpir","","","patate","","картошка","","","patates"
"nouns","potty","tuta","potty","סיר","vasino","potte","горшок","bacinic","potta","lazımlık/oturak, tuvalet"
"nouns","pretzel","","","","","","","","","simit"
"nouns","pudding","","","","","","","","","muhallebi"
"nouns","puddle","","","","","","лужа","","",""
"nouns","puppy","","puppy","גור","","valp","","","valp",""
"nouns","purse","novčanik","purse","ארנק","","lommebok","","bolsa","börs","çanta"
"nouns","quesadilla","","","","","","","quesdil","",""
"nouns","radio","radio","radio","רדיו","","radio","радио","radio","radio","radyo"
"nouns","rag","","","","","","тряпка","","",""
"nouns","rain","kiša","rain","גשם","pioggia","regn","дождь","lluvia","regn","yağmur"
"nouns","raisin","","raisin","צימוקים","","rosiner","","","russin",""
"nouns","rattle","","","רעשן","","","","","",""
"nouns","refrigerator","hladnjak","refrigerator","מקרר","frigorifero","kjøleskap","холодильник","refrig","kylskåp","buzdolabı"
"nouns","remote control","","","","","","","","","kumanda"
"nouns","rice","","","אורז","riso","","","arroz","ris","pilav"
"nouns","road","","","כביש","","","улица","","","yol"
"nouns","rock","kamen","rock","אבן","montagna","stein","камень","piedra","sten","taş"
"nouns","rocking chair","","rocking chair","נדנדה","","gyngestol","","","gungstol",""
"nouns","roof","","","","","","","techo","",""
"nouns","room","","","","camera","","комната","cuarto","","oda"
"nouns","rooster","pijetao",""," תרנגול","gallo","","петух","","",""
"nouns","rope","","","","","","","","","ip"
"nouns","sand","","","","","","песок","","","kum"
"nouns","sandals","","","סנדלים","","","босоножки","","",""
"nouns","sandwich","","","","","","","","macka",""
"nouns","sauce","","","","sugo","","","","",""
"nouns","scarf","šal","","","sciarpa","","шарф","","",""
"nouns","schnitzel","","","שניצל","","","","","",""
"nouns","school","škola","school","","","","","escuela","skola",""
"nouns","scissors","škare","scissors","מספריים","forbici","saks","ножницы","tijeras","sax",""
"nouns","sea","","","ים","mare","","","","",""
"nouns","semolina","griz","","","","","","","",""
"nouns","sheep","ovca","sheep","כבשה","pecora","sau","баран/овечка","","får",""
"nouns","ship","brod","","","","","","barco","","gemi/vapur"
"nouns","shirt","majica","shirt","חולצה","","t-skjorte","кофта, рубашка","playera","skjorta","gömlek, tişört"
"nouns","shoe","cipele","shoe","נעליים","scarpe","sko","туфли","zapato","sko","ayakkabı/pabuç"
"nouns","shorts","","shorts","מכנסיים","","shorts","","shorts","",""
"nouns","shovel","lopata, lopatica","shovel","את","","spade","лопатка/совок","","spade","kürek"
"nouns","shower","","","","doccia","","душ","regader","",""
"nouns","shutter","","","תריס","","","","","",""
"nouns","sink","umivaonik","sink","כיור","lavandino","vask","таз","lavabo","diskbänk",""
"nouns","skirt","suknja","","חצאית","gonna","","","falda","",""
"nouns","sky","nebo","sky","שמיים","cielo","himmel","небо","cielo","himmel",""
"nouns","slide (object)","","slide (object)","מגלשה","scivolo","sklie","горка","resbald","rutschbana","kaydırak"
"nouns","slipper","papuče","","","","","тапки","","","terlik"
"nouns","snake","","","נחש","","","змея","","",""
"nouns","snow","snijeg","snow","","neve","snø","снег","nieve","snö",""
"nouns","snowsuit","","","","","","комбинезон","","",""
"nouns","soap","sapun","soap","סבון","sapone","såpe","мыло","jabon","tvål","sabun"
"nouns","sock","čarape","sock","גרביים","","sokker","носки","calceti","socka","çorap"
"nouns","soda","","","","","","","soda","","kola"
"nouns","soup","","","","","","суп","","","tarhana"
"nouns","spade","","","","paletta","","","","",""
"nouns","spaghetti","tijesto","spaghetti","ספגטי","","spagetti","","","spagetti","makarna"
"nouns","sparrow","vrabac","","","","","","","",""
"nouns","spider","","","","","","","arana","",""
"nouns","spinach","špinat","","","","","","","",""
"nouns","spoon","žlica","spoon","כף, כפית","cucchiaio","skje","ложка","cuchara","sked","kaşık"
"nouns","squirrel","vjeverica","squirrel","סנאי","","ekorn","белка","ardilla","ekorre",""
"nouns","stairs","stepenice","stairs","מדרגות","scala","trapp","ступеньки","escaler","trappa","merdiven"
"nouns","star","zvijezda","star","כוכב","stella","stjerner","звезда","estrell","stjärna","yıldız"
"nouns","stick","","","","","","палка","","",""
"nouns","stone","","","","sasso","","","","",""
"nouns","store","trgovina","store","חנות, סופר","negozio","","магазин","tienmer","affär",""
"nouns","stove","štednjak","stove","","","komfyr","","estufa","",""
"nouns","street","","","","strada","","","calle","","sokak"
"nouns","stroller","","stroller","עגלה","passeggino","barnevogn","коляска","carreol","barnvagn",""
"nouns","sugar","","","","zucchero","","","","",""
"nouns","sun","sunce","sun","שמש","sole","sol","солнце","sol","sol","güneş"
"nouns","sweater","vesta/džemper","sweater","סוודר","maglione","genser","","sueter","tröja","kazak"
"nouns","swimsuit","","","בגד ים","","","","","",""
"nouns","swing (object)","ljuljačka","swing (object)","","altalena","huske","качели","columpi","gunga","salıncak"
"nouns","table","stol","table","שולחן","tavolo","bord","стол","mesa","bord","masa"
"nouns","tablecloth","","","מפה","","","","","",""
"nouns","tahini","","","טחינה","","","","","",""
"nouns","tank top","","","גופיה","","","","","",""
"nouns","tea","","","תה ","","","чай","","",""
"nouns","teapot","","","","","","чайник","","",""
"nouns","teddybear","","teddybear","דובי","","(leke)bamse","","osito","nalle",""
"nouns","telephone","telefon","telephone","טלפון","telefono","telefon","телефон","telefon","telefon","telefon"
"nouns","thumb","","","אגודל","","","","","",""
"nouns","tiger","tigar","tiger","נמר","tigre","tiger","тигр","tigre","tiger",""
"nouns","tights","","","","calze","strømpebukse","колготки","","",""
"nouns","tissue","","","","fazzoletto","","платок (носовой)","","",""
"nouns","toast","","toast","טוסט","","","","","","tost"
"nouns","toe","prst","toe","","","tå","","","tå",""
"nouns","tomato","","","עגבניה","","","помидор","","","domates"
"nouns","tongue","jezik","tongue","לשון","lingua","tunge","язык","lengua","tunga","dil"
"nouns","tooth","zub","tooth","שיניים","denti","tenner","зубы","dientes","tand","diş"
"nouns","toothbrush","četkica (za zube)","toothbrush","מברשת שיניים","spazzolino da denti","tannbørste","","cepillo","tandborste",""
"nouns","top","","","סביבון","trottola","","","","",""
"nouns","tortilla","","","","","","","tortila","",""
"nouns","towel","ručnik","towel","מגבת","","håndkle","полотенце","toalla","handduk",""
"nouns","tower","","","מגדל","","","","","",""
"nouns","toy (object)","igračka","toy (object)","צעצוע","giocattolo","leke","игрушка","juguete","leksak","oyuncak"
"nouns","tracksuit","","","","tuta","","","","",""
"nouns","tractor","","","טרקטור","","","трактор","","traktor",""
"nouns","train","vlak","train","רכבת","treno","tog","поезд","tren","tåg","tren"
"nouns","tram","tramvaj","","","","","","","",""
"nouns","trash","smeće","trash","אשפה","","søppel","мусор","basura","skräp",""
"nouns","tree","drvo","tree","עץ","albero","tre","дерево","arbol","träd","ağaç"
"nouns","truck","kamion","truck","משאית","camion","lastebil","грузовик","camion","lastbil","kamyon"
"nouns","tummy","trbuh","tummy","בטן","pancia","mage","живот","panza","mage","göbek"
"nouns","turkey","purica","turkey","תרנגול הודו","","","","guajolo","",""
"nouns","turtle","","turtle","צב ","tartaruga","skilpadde","черепаха","tortuga","sköldpadda",""
"nouns","tv","televizor","tv","טלויזיה","televisione/tv","tv","телевизор","televis","tv","televizyon"
"nouns","umbrella","","","","ombrello","","","","",""
"nouns","underpants","","","","mutande","","","","",""
"nouns","underwear","gaćice","","","","","трусы","calzon","",""
"nouns","vacuum","usisivač","vacuum","שואב אבק","","støvsuger","","aspirdo","dammsugare","süpürge"
"nouns","vagina","","","","organo genitale femm","","","","",""
"nouns","vest","","","אפודה","","","","","","yelek"
"nouns","voice recorder","","","","","","магнитофон","","",""
"nouns","wafer","","","ופלה","","","","","",""
"nouns","wall","","","","","","","","","duvar"
"nouns","wardrobe","ormar","","","","","","","",""
"nouns","washing machine","","","","lavatrice","","","","",""
"nouns","watch (object)","sat","watch (object)","","","","часы","reloj","",""
"nouns","water (beverage)","voda","water (beverage)","מים ","acqua","vann","вода","agua","vatten","su"
"nouns","water (not beverage)","voda","water (not beverage)","","","vann","","","vatten",""
"nouns","watermelon","","","אבטיח","","","","","","karpuz"
"nouns","wind","","","","vento","","ветер","","",""
"nouns","window","prozor","window","חלון","finestra","vindu","окно","ventana","fönster","pencere"
"nouns","wolf","vuk","","זאב","lupo","","волк","lobo","",""
"nouns","work (place)","posao","work (place)","עבודה","","","работа","","arbetet",""
"nouns","worm","","","","","(meite)mark","","","",""
"nouns","yard","","backyard","גינה, חצר","","","двор","","gård",""
"nouns","yogurt","jogurt","","","yogurt","","йогурт","","","yoğurt"
"nouns","yogurt drink","","","","","","кефир","","","ayran"
"nouns","zipper","zatvarač","zipper","רוכסן","","glidelås","","cierre","blixtlås",""
"nouns","zoo","zoološki (vrt)","zoo","גן חיות","zoo","","зоопарк","zoologi","",""
